address,huanjing,jiage,louceng,mianji,shi,ting,title,xqname
高新区-科技路 科技路25号,"合租,朝南,有电梯,3/5/6号线",500,中层(共32层)                                                            ,36,3,2,无押金无中介玫瑰大楼 大都荟新西蓝高科花园亚美大厦,玫瑰大楼
高新区-高新一中 科技二路5号,"合租,朝南,有电梯,3/6号线",600,中层(共33层)                                                            ,30,3,2,月付太白南路地铁口嘉天国际科创小区崇立苑文理学院家属院太白里,沙井村
高新区-昆明路 昆明路甲330号,"合租,朝南,有电梯,5号线",620,高层(共33层)                                                            ,32.2,3,1,押一付一汉城南路地铁口 西砂广场 三五一一 丈八北路 昆明路,金辉悦府
高新区-都市之门 太白南路39号,"整租,南北,有电梯,6号线",2450,中层(共33层)                                                            ,109,2,2,中兴产业园 绿地都市之门 锦业时代 逸翠园 华陆大厦 软件园,天正幸福里
高新区-科技路中段 科技路西段239号,"合租,朝南,有电梯,3/5号线",588,低层(共28层)                                                            ,25,3,2,无中介主卧独卫月付 次卧独卫都有 延平门 大都荟 旺座国际城,中华世纪城
高新区-科技路 科技路209号,"合租,朝南,有电梯,3/5/6号线",580,中层(共30层)                                                            ,30,3,2,低价房源精装（新西蓝一期出租）玫瑰大楼大都荟丹枫国际亚美大厦,新西蓝(一期)
高新区-唐延路 科技四路2号,"合租,朝南,有电梯,6号线",950,中层(共20层)                                                            ,25,4,2,可月付木塔寺地铁口 洛克大厦 新长安广场 高新万达 主卧飘窗,天地源枫林绿洲
"高新区-大寨路 创新路,近大寨路","合租,朝南,有电梯,3/5号线",758,高层(共28层)                                                            ,20,3,1,月付单间 融侨城主卧落地窗 太和时代 金辉广场 金光门,融侨城(东区一期)
高新区-大寨路 纬一路,"合租,朝南,有电梯,3/5号线",677,高层(共34层)                                                            ,25,3,2,月付 主卧独卫 环普直达车 鱼化寨科技路西口 西三环 阿房路,华洲城云顶
高新区-高新一中 科技二路78号,"合租,朝南,有电梯,3号线",650,低层(共32层)                                                            ,25,3,2,可月付免租一月 西安软件园 科技二路 高新医院 光电园 主卧,城市风景夏日景色(1区)
高新区-丈八西路 丈八四路,"合租,朝北,有电梯,6号线",750,低层(共33层)                                                            ,15,5,0,丈八四路 大会堂 嘉昱大厦 罗马景福城 丈八一号 精装次卧,丈八一号
高新区-科技六路 团结南路,"合租,朝南,有电梯,6号线",780,中层(共30层)                                                            ,25,3,1,摩尔中心 唐延路 科技五路 双水磨 软件园附近合租房直租,南窑头社区西区
"高新区-大寨路 大寨路,近丈八北路","合租,朝南,有电梯,5号线",650,低层(共32层)                                                            ,30,3,2,鱼化寨地铁口 大寨路 丈八北路地铁口 科技路 西窑头地铁口,金域牟嘉
"高新区-大寨路 丰盛路,近大寨路","合租,朝南,有电梯,3/5号线",900,中层(共30层)                                                            ,28,2,1,月付 鱼化寨（主卫阳台）华洲城天峰 云顶 金泰怡景花园 直租,华洲城天峰
高新区-高新路 高新路86号,"整租,朝南,有电梯,6号线",1700,高层(共25层)                                                            ,38.7,1,1,木塔寺地铁口全配一室特价拎包即住！,领先时代广场
"高新区-锦业路 丈八六路,近科技八路","合租,朝南,有电梯,6号线",500,中层(共32层)                                                            ,25,5,0,丈八六路 环普产业园 万家灯火 美寓华庭 独立厨房有冰箱,盛泽万家灯火
高新区-都市之门 太白南路39号,"整租,南北,有电梯,6号线",2600,中层(共33层)                                                            ,109,2,2,丈八一路 省体育馆 高新万达 华陆大厦 软件园 英华达,天正幸福里
高新区-高新一中 高新一路37号,"合租,朝南,有电梯,3/6号线",899,中层(共15层)                                                            ,30,3,2,单间 | 甘家寨地铁口 可短租月付 首月免租金 禾盛京广,外贸局家属院(科技路)
高新区-高新路 高新路45号,"合租,朝南,有电梯,3/5/6号线",700,中层(共31层)                                                            ,18,3,1,六号线 科技路地铁口 枫叶高层 甘家寨 延平门 咖啡街区,枫叶高层
